10000 100000
8879 7824 1000000
6023 8706 1000000
3441 3594 1000000
7929 3594 1000000
4222 5385 1000000
2796 7824 1000000
1779 6890 1000000
1341 5822 1000000
3468 5822 1000000
1064 7824 1000000
862 9205 1000000
9978 9478 1000000
6989 5385 1000000
5366 9478 1000000
7603 5385 1000000
4485 7824 1000000
8347 9205 1000000
4049 8706 1000000
2924 2447 -218324
188 9478 1000000
9033 9478 1000000
9398 9205 1000000
3694 9478 1000000
3374 3594 1000000
1216 9205 1000000
9635 9205 1000000
3019 5385 1000000
6906 9478 1000000
1748 5385 1000000
3113 4170 1000000
596 9205 1000000
5296 9478 1000000
3125 3594 1000000
546 4170 1000000
6781 6890 1000000
3063 3594 1000000
9490 9478 1000000
7293 3728 -219536
8068 5385 1000000
1164 5385 1000000
1385 4170 1000000
6454 5822 1000000
3516 5822 1000000
2618 3594 1000000
3651 5822 1000000
5120 8706 1000000
2667 6890 1000000
9468 7824 1000000
3538 9478 1000000
1099 8706 1000000
3428 9478 1000000
8640 5385 1000000
4432 6890 1000000
5154 9205 1000000
3834 4170 1000000
8283 3594 1000000
2640 3594 1000000
9581 7824 1000000
7047 9205 1000000
9786 3594 1000000
713 9478 1000000
1354 3594 1000000
7036 9478 1000000
5950 5385 1000000
6384 5385 1000000
4544 4170 1000000
4831 4170 1000000
9700 4170 1000000
1833 3594 1000000
8918 4170 1000000
3811 6890 1000000
9093 9478 1000000
3904 5822 1000000
4879 7824 1000000
1887 9205 1000000
3073 8706 1000000
2978 7817 -218582
5413 5385 1000000
287 5822 1000000
5707 189 -211611
1715 5385 1000000
6262 4170 1000000
5426 5822 1000000
5965 7824 1000000
8696 7824 1000000
8664 5385 1000000
7242 3594 1000000
7769 4170 1000000
9767 6890 1000000
2606 3594 1000000
4033 8706 1000000
3111 7824 1000000
7354 5385 1000000
7578 5822 1000000
780 5385 1000000
912 5385 1000000
9721 4170 1000000
7520 7824 1000000
6933 6890 1000000
9351 9478 1000000
5374 8706 1000000
4667 7824 1000000
1899 3594 1000000
3071 9205 1000000
6637 9478 1000000
4903 7824 1000000
6130 4170 1000000
5916 5822 1000000
4574 9478 1000000
7008 9478 1000000
1777 9258 -212995
3617 9478 1000000
312 4170 1000000
2115 9205 1000000
2154 4170 1000000
3938 4170 1000000
1832 9478 1000000
9036 4170 1000000
3724 9205 1000000
2908 9205 1000000
1390 3594 1000000
9334 5385 1000000
5927 9478 1000000
4517 2558 -218247
7197 9478 1000000
4616 5822 1000000
593 3392 -214341
5872 7824 1000000
230 4170 1000000
5662 4170 1000000
1861 5385 1000000
3086 7824 1000000
914 9478 1000000
2285 2830 -214580
5100 9478 1000000
7653 6890 1000000
3645 3594 1000000
7028 8706 1000000
5336 8706 1000000
6720 8706 1000000
388 7824 1000000
5911 6890 1000000
6725 6890 1000000
5846 3594 1000000
8286 3594 1000000
5904 4170 1000000
1291 9478 1000000
8875 9205 1000000
1703 6890 1000000
5165 9478 1000000
1559 9205 1000000
2477 3594 1000000
818 7824 1000000
4841 6890 1000000
4253 5822 1000000
7916 5822 1000000
4754 7824 1000000
9206 7824 1000000
7663 5385 1000000
2061 9478 1000000
2899 6890 1000000
921 4170 1000000
2821 8706 1000000
7841 6890 1000000
9499 6890 1000000
6978 5822 1000000
3025 6890 1000000
1262 5822 1000000
1657 5385 1000000
6354 3901 -215852
9955 9478 1000000
4984 8706 1000000
3146 4170 1000000
6609 5822 1000000
9571 9205 1000000
9240 3594 1000000
4979 9478 1000000
9199 6890 1000000
864 9205 1000000
5225 8706 1000000
5500 7824 1000000
741 5822 1000000
6277 8706 1000000
108 4170 1000000
197 8706 1000000
7689 9478 1000000
8005 4170 1000000
9313 6890 1000000
4699 9478 1000000
9480 5385 1000000
1208 3594 1000000
9820 3594 1000000
51 9205 1000000
5798 5910 -214585
7638 7824 1000000
6718 5385 1000000
5282 9478 1000000
3181 9478 1000000
3796 9205 1000000
1059 6890 1000000
4101 7824 1000000
2562 6890 1000000
6781 9478 1000000
1390 966 -216468
3135 7824 1000000
7047 9478 1000000
7469 8706 1000000
1022 5822 1000000
1799 7824 1000000
6362 9205 1000000
9948 7824 1000000
130 5385 1000000
5583 3594 1000000
8659 3014 -213436
1202 7544 -212894
6637 5822 1000000
4045 3594 1000000
8350 9478 1000000
1891 5385 1000000
981 8706 1000000
4240 6406 -216153
3542 6890 1000000
8506 9205 1000000
7834 4170 1000000
508 5385 1000000
7315 8706 1000000
5330 8706 1000000
7290 3543 -214285
9985 5385 1000000
5192 5822 1000000
713 5822 1000000
3692 7824 1000000
8943 3594 1000000
5981 9478 1000000
1515 9478 1000000
7018 7824 1000000
8887 3594 1000000
1827 3594 1000000
7472 4170 1000000
3589 9478 1000000
2060 3594 1000000
9599 9205 1000000
2916 7824 1000000
3169 5822 1000000
8944 9478 1000000
7815 9205 1000000
2743 9478 1000000
5908 5822 1000000
4749 6890 1000000
4046 3576 -209874
9968 9205 1000000
8211 5822 1000000
3907 6890 1000000
8602 7824 1000000
1776 4807 -219074
7 5822 1000000
5253 6890 1000000
5679 7040 -214236
6179 6890 1000000
4516 9205 1000000
1546 9478 1000000
8288 9478 1000000
8549 7824 1000000
8299 1882 -214756
9969 9478 1000000
2743 9205 1000000
4631 7824 1000000
3475 4170 1000000
5207 6890 1000000
3216 7824 1000000
742 5385 1000000
1857 8706 1000000
5095 3594 1000000
8107 5385 1000000
6229 5385 1000000
7215 3594 1000000
1557 6890 1000000
4274 8706 1000000
7875 5822 1000000
643 9205 1000000
3500 3594 1000000
6939 7824 1000000
9018 3305 -217528
3477 8706 1000000
8562 8706 1000000
9821 8706 1000000
536 7824 1000000
4709 4170 1000000
4028 9303 -210805
4980 6920 -217929
5233 5385 1000000
4140 9478 1000000
1831 7824 1000000
9462 6890 1000000
3396 652 -217220
3995 4170 1000000
8785 9205 1000000
6992 7824 1000000
119 5385 1000000
9674 9205 1000000
3193 7932 -217074
5291 9205 1000000
39 5385 1000000
3866 8706 1000000
4576 7824 1000000
4060 7824 1000000
1146 6890 1000000
6784 4170 1000000
7360 3594 1000000
4666 3594 1000000
8122 9205 1000000
8529 9205 1000000
5168 7824 1000000
5312 4170 1000000
5191 4031 -213097
6816 8706 1000000
4774 5385 1000000
6179 8706 1000000
4735 4170 1000000
2247 9205 1000000
9861 9478 1000000
6104 9478 1000000
7171 6890 1000000
4906 5385 1000000
2119 4170 1000000
9136 5822 1000000
2579 3594 1000000
9736 7824 1000000
5349 506 -214397
7226 9205 1000000
3078 6890 1000000
1869 9478 1000000
3787 4170 1000000
2348 6890 1000000
6694 6890 1000000
8669 5385 1000000
5722 6890 1000000
7212 9205 1000000
7008 6890 1000000
3059 9478 1000000
8327 8706 1000000
7144 9205 1000000
6009 7824 1000000
5303 6890 1000000
3270 1218 -216623
5680 9205 1000000
7686 2331 -215176
451 7824 1000000
5892 9478 1000000
6108 5822 1000000
